SeriesName_1: GDP: Gross domestic product (line 1) [Millions],Series Code_2: A191RC-Q,SeriesName_2: Employment: Total nonfarm  [Thousands],SeriesCode_2: CES0000000001
Date_1,GDP: Gross domestic product (line 1) [Millions],Date_2,Employment: Total nonfarm  [Thousands]
,,07-2010,130427.0
,,08-2010,130422.0
,,09-2010,130357.0
,,10-2010,130625.0
,,11-2010,130750.0
,,12-2010,130822.0
,,01-2011,130841.0
,,02-2011,131053.0
,,03-2011,131288.0
,,04-2011,131602.0
,,05-2011,131703.0
,,06-2011,131939.0
,,07-2011,131999.0
,,08-2011,132125.0
,,09-2011,132358.0
,,10-2011,132562.0
,,11-2011,132694.0
,,12-2011,132896.0
,,01-2012,133250.0
,,02-2012,133512.0
,,03-2012,133752.0
,,04-2012,133834.0
,,05-2012,133934.0
,,06-2012,134007.0
,,07-2012,134159.0
,,08-2012,134331.0
,,09-2012,134518.0
,,10-2012,134677.0
,,11-2012,134833.0
,,12-2012,135072.0
,,01-2013,135263.0
,,02-2013,135541.0
,,03-2013,135680.0
,,04-2013,135871.0
,,05-2013,136093.0
,,06-2013,136274.0
,,07-2013,136386.0
,,08-2013,136628.0
,,09-2013,136815.0
,,10-2013,137040.0
,,11-2013,137304.0
,,12-2013,137373.0
,,01-2014,137548.0
,,02-2014,137714.0
,,03-2014,137968.0
,,04-2014,138293.0
,,05-2014,138511.0
,,06-2014,138837.0
,,07-2014,139069.0
,,08-2014,139257.0
,,09-2014,139566.0
,,10-2014,139818.0
,,11-2014,140109.0
,,12-2014,140377.0
,,01-2015,140568.0
,,02-2015,140839.0
,,03-2015,140910.0
,,04-2015,141194.0
,,05-2015,141525.0
,,06-2015,141699.0
,,07-2015,142001.0
,,08-2015,142126.0
,,09-2015,142281.0
,,10-2015,142587.0
,,11-2015,142824.0
,,12-2015,143097.0
,,01-2016,143205.0
,,02-2016,143417.0
,,03-2016,143654.0
,,04-2016,143851.0
,,05-2016,143892.0
,,06-2016,144150.0
,,07-2016,144521.0
,,08-2016,144664.0
,,09-2016,144953.0
,,10-2016,145071.0
,,11-2016,145201.0
,,12-2016,145415.0
,,01-2017,145612.0
,,02-2017,145795.0
,,03-2017,145934.0
,,04-2017,146154.0
,,05-2017,146295.0
,,06-2017,146506.0
,,07-2017,146734.0
,,08-2017,146924.0
,,09-2017,146966.0
,,10-2017,147215.0
,,11-2017,147411.0
,,12-2017,147590.0
,,01-2018,147671.0
,,02-2018,148049.0
,,03-2018,148244.0
,,04-2018,148397.0
,,05-2018,148667.0
,,06-2018,148881.0
,,07-2018,149030.0
,,08-2018,149259.0
,,09-2018,149364.0
,,10-2018,149576.0
,,11-2018,149668.0
,,12-2018,149908.0
,,01-2019,150145.0
,,02-2019,150095.0
,,03-2019,150263.0
,,04-2019,150482.0
,,05-2019,150545.0
,,06-2019,150720.0
,,07-2019,150913.0
,,08-2019,151108.0
,,09-2019,151329.0
,,10-2019,151524.0
,,11-2019,151758.0
,,12-2019,151919.0
,,01-2020,152234.0
,,02-2020,152523.0
,,03-2020,150840.0
,,04-2020,130161.0
,,05-2020,132994.0
,,06-2020,137840.0
,,07-2020,139566.0
,,08-2020,141149.0
,,09-2020,141865.0
,,10-2020,142545.0
,,11-2020,142809.0
,,12-2020,142503.0
,,01-2021,142736.0
,,02-2021,143272.0
,,03-2021,144057.0
,,04-2021,144326.0
,,05-2021,144940.0
,,06-2021,145878.0
